num_ranks,space_order,time,x_size,y_size,z_size,repeat_num,elapsed_time,oi,gflopss,gpointss,haloupdate0
4,2,256,256,256,256,1,0.72,2.64,131.75,5.99,0.127628
4,2,256,256,256,256,2,0.71,2.64,133.61,6.08,0.11458199999999993
4,2,256,512,256,256,1,1.37,2.66,138.48,6.3,0.180809
4,2,256,512,256,256,2,1.4,2.66,135.52,6.16,0.19116999999999995
4,2,256,256,512,256,1,1.36,2.66,139.5,6.35,0.157691
4,2,256,256,512,256,2,1.39,2.66,136.49,6.21,0.2636069999999998
4,2,256,512,512,512,1,5.8,2.69,130.84,5.95,1.3071020000000004
4,2,256,512,512,512,2,5.36,2.69,141.58,6.44,0.6915250000000001
4,2,512,256,256,256,1,1.45,2.65,130.59,5.94,0.2099810000000001
4,2,512,256,256,256,2,1.42,2.65,133.35,6.07,0.22156099999999998
4,4,256,256,256,256,1,0.83,3.23,145.46,5.2,0.21131499999999986
4,4,256,256,256,256,2,0.87,3.23,138.77,4.96,0.18756499999999995
4,4,256,512,256,256,1,1.59,3.28,151.87,5.43,0.35474500000000003
4,4,256,512,256,256,2,1.62,3.28,149.05,5.33,0.4044560000000003
4,4,256,256,512,256,1,1.63,3.28,148.14,5.3,0.4149000000000003
4,4,256,256,512,256,2,1.63,3.28,148.14,5.3,0.37506100000000014
4,4,256,512,512,512,1,5.89,3.36,163.98,5.86,0.926531
4,4,256,512,512,512,2,6.46,3.36,149.51,5.34,1.569842
4,4,512,256,256,256,1,1.66,3.24,145.18,5.19,0.3842989999999999
4,4,512,256,256,256,2,1.65,3.24,146.06,5.22,0.4238260000000004
4,8,256,256,256,256,1,1.37,4.92,144.78,3.15,0.5512810000000002
4,8,256,256,256,256,2,1.37,4.92,144.78,3.15,0.5512470000000002
4,8,256,512,256,256,1,2.37,5.07,167.38,3.64,0.6610759999999999
4,8,256,512,256,256,2,2.37,5.07,167.38,3.64,0.6612019999999998
4,8,256,256,512,256,1,2.48,5.07,159.96,3.48,0.8235250000000004
4,8,256,256,512,256,2,2.51,5.07,158.05,3.44,0.835307
4,8,256,512,512,512,1,9.14,5.31,173.61,3.78,2.0432309999999996
4,8,256,512,512,512,2,8.99,5.31,176.5,3.84,2.353666000000002
4,8,512,256,256,256,1,2.74,4.93,144.5,3.15,1.1171539999999993
4,8,512,256,256,256,2,2.7,4.93,146.64,3.19,0.9997160000000004
